 rahogI	 raha
 xiyA - aBI	 xiyA - aBI
 sohAwA	 sohA
 dolawe	 dola
 JidZaka	 JidZaka
 hE - SIwala	 hE - SIwala
 kahA - Ae	 kahA - A
 hoUz	 ho
 sUKA - bUdZA	 sUKA - bUdZA
 kahA - Aja	 kahA - Aja
 paCAdZa	 paCAdZa
 padZawIM	 padZa
 kahA - Apa	 kahA - Apa
 KoyI	 KoyA
 samaJAUMgI	 samaJA
 Koye	 KoyA
 udAeM	 udA
 wAkawA	 wAka
 xiKAUMgI	 xiKA
 lUtane	 lUta
 rahie	 raha
 kosawA	 kosa
 bETAwI	 bETA
 baztAne	 baztA
 bETAwe	 bETA
 CUtegA	 CUta
 nahIM - mArapIta	 nahIM - mArapIta
 ujAdZakara	 ujAdZa
 manAne	 manA
 bolA - kuCa	 bolA - kuCa
 liyA	 le
 xeKawa	 xeKawa
 xeKawexeKawe	 xeKawexeKawe
 KAwI - pIwI	 KAwI - pI
 xeKA	 xeKA
 mazdalAnA	 mazdalA
 JAzkawe	 JAzka
 sakegI	 saka
 xUMgI	 xe
 JAzkawI	 JAzka
 kucalawe	 kucala
 Pazsa	 Pazsa
 xabAwA	 xabA
 pakadZakara	 pakadZa
 uKAdZanA	 uKAdZa
 kI - xeKawe	 kA - xeKa
 sIMcawe	 sIMca
 BUlanI	 BUla
 pahuMcA	 pahuMcA
 risIkesa	 risIkesa
 sazBala	 sazBala
 KolUz	 Kola
 baxalA	 baxalA
 kiyA - mariyama	 kara - mariyama
 calA	 calA
 bolI - sUre	 bolI - sUre
 rakKeMge	 rakKa
 Wolo	 Wolo
 adZA	 adZA
 lagAyeM	 lagA
 pakadZawI	 pakadZa
 Kela	 Kela
 KIJakara	 KIJa
 pakadZawe	 pakadZa
 pahuMcIM	 pahuMca
 PEla	 PEla
 dAMtane	 dAMta
 Pazsane	 Pazsa
 curA	 curA
 CUnA	 CU
 sOMpa	 sOMpa
 manA - manUkara	 manA - manUkara
 KapA	 KapA
 PElAwI	 PElA
 pilA	 pilA
 pahacAnanA	 pahacAna
 BatakawA	 Bataka
 ginanA	 gina
 wadZapa	 wadZapa
 KAUMgI	 KA
 mAnA	 mAna
 marA	 marA
 CudAkara	 CudA
 liKUMgI	 liKa
 sIKoge	 sIKa
 kaheM¢gI	 kaha
 CedZA	 CedZA
 wodakara	 woda
 tokA - sowI	 tokA - sowA
 CidZakawI	 CidZaka
 CIla	 CIla
 saMBAle	 saMBAla
 kahA - kahAM	 kahA - kahAM
 bAMXie	 bAMXa
 lage - agara	 lagA - agara
 CIna	 CIna
 baxalawI	 baxala
 socUzgA	 soca
 reMgakara	 reMga
 DonA	 Do
 bolA - mEM	 bolA - mEM
 xeMgI	 xe
 kahA - BagavAn	 kahA - BagavAn
 xeMge	 xe
 hilAie	 hilA
 biTAnA	 biTA
 mazgA - mazgAkara	 mazgA - mazgA
 xabUz	 xaba
 mArUz	 mAra
 giravAiegA	 giravA
 udZAwe	 udZA
 udZAwI	 udZA
 bigadZe	 bigadZA
 pUCA - Apane	 pUCa - Apa
 uTawe - hAz - hAz	 uTa - hAz - hAz
 lutAeM	 lutA
 udZAyA	 udZA
 walASe	 walASa
 gaI - isa	 jA - yaha
 padZaIzgA	 padZaIzgA
 PazsanevAle	 Pazsa
 milane - julane	 mila - julane
 pUCegI - iwane	 pUCa - iwanA
 cunane	 cuna
 xilI	 xilI
 Ao - jAo	 Ao - jA
 cahakawI	 cahaka
 padar¡	 padar
 bolA - kaBI	 bolA - kaBI
 banavAUzgA	 banavA
 Gerawe	 Gera
 wU	 wU
 Soka - GatA	 Soka - GatA
 dareM	 dara
 JuzJalAwe	 JuzJalA
 padAOra	 padAOra
 cupacApa	 cupacApa
 Pisalakara	 Pisala
 kahA - Coda	 kahA - Coda
 CodZawIM	 CodZa
 banAUzgA	 banA
 xUz - bahana	 xe - bahana
 dAlawI	 dAla
 sakaweba	 sakaweba
 dAlawe	 dAla
 pataka	 pataka
 kahA - kahawe	 kahA - kaha
 gujarawI	 gujara
 gujarawe	 gujara
 mAre - mAre	 mAre - mAre
 lUteM	 lUta
 caKAnA	 caKA
 KapAwI	 KapA
 banAI	 banA
 banAe	 banA
 KapAwe	 KapA
 baDZajAya	 baDZajAya
 JallAye	 JallA
 kAtUzgA	 kAta
 kOMXAwI	 kOMXA
 paCawAwA	 paCawA
 CipAye	 CipA
 xeKeMge	 xeKa
 xeKeMgI	 xeKa
 paDZane	 paDZa
 sikudZA	 sikudZA
 paDZanI	 paDZa
 kamAezge	 kamA
 hilawA	 hila
 calawe	 cala
 calawI	 cala
 bole - AKira	 bola - AKira
 kAMpawA	 kAMpa
 WI - calo	 WA - cala
 mArIM	 mAra
 paDZarahe	 paDZarahe
 dUbegI	 dUba
 sunUz	 suna
 sunUM	 suna
 tikawe	 tika
 rahI - yaha	 raha - yaha
 mazje	 mazja
 gAnA - bajAnA	 gAnA - bajA
 kiyA - rAwa	 kara - rAwa
 JelI	 Jela
 Jele	 Jela
 CodZakara	 CodZa
 Xazsa	 Xazsa
 bawalAe	 bawalA
 mArA	 mArA
 bawalAI	 bawalA
 amara	 amara
 samaJA	 samaJA
 sAXI	 sAXa
 bolawI	 bola
 sAXo	 sAXa
 bolawe	 bola
 banavAie	 banavA
 sire	 sirA
 caDZAkara	 caDZA
 GUmUzgA	 GUma
 padZI - padZI	 padZA - padZA
 lewe - xewe	 le - xe
 bacAUzgA	 bacA
 kahA - isalie	 kahA - isalie
 bajAwI	 bajA
 bajAwe	 bajA
 Guse	 GusA
 xUzgA - ApakI	 xe - Apa
 xOdZUMgI	 xOdZa
 lOtAeMge	 lOtA
 pahanAkara	 pahanA
 maMgA	 maMgA
 pahuzcA	 pahuzcA
 PElakara	 PEla
 cukane	 cuka
 gireM	 gira
 PUlakara	 PUla
 cillAwI	 cillAwA
 cillAwe	 cillAwA
 xiKAeMge	 xiKA
 aKarawA	 aKara
 lapakegA	 lapaka
 bawalAnA	 bawalA
 rahA - jisake	 raha - jo
 litA	 litA
 saxxacAwe	 saxxacAwe
 kAMpa	 kAMpa
 pUCA - muJe	 pUCa - mEM
 Xarakara	 Xara
 lataka	 lataka
 curAyA	 curA
 milawA	 mila
 ragadZa	 ragadZa
 JAMkA	 JAMka
 sikodZI	 sikodZa
 TaharAwe	 TaharA
 sikodZe	 sikodZa
 calUMgI	 cala
 bulavAnA	 bulavA
 raKiegA	 raKa
 bolA - lekina	 bolA - lekina
 lIM - wuma	 le - wU
 banAbanAkara	 banAbanAkara
 kahA - aba	 kahA - aba
 JAzkA	 JAzka
 CUtawA	 CUta
 gayA - muJe	 jA - mEM
 Tela - TAlakara	 Tela - TAlakara
 dUbane - uwarAne	 dUba - uwarA
 sunAveMge	 sunA
 gAdZe	 gAdZa
 WI - na	 WA - na
 xenevAlI	 xe
 xenevAle	 xe
 kahA - saca	 kahA - saca
 cukAoge	 cukA
 DakelanA	 Dakela
 KadAWA	 KadAWA
 lenevAle	 le
 bole - miwrAå	 bola - miwrA
 lenevAlI	 le
 ujadZavA	 ujadZavA
 kiyA - hAM	 kara - hAz
 PIkI	 PIkA
 wadZapAe	 wadZapA
 manavA	 manavA
 oDZA	 oDZA
 xOdAcalA	 xOdAcalA
 takarAnA	 takarA
 bulAwIM	 bulA
 lalakAra	 lalakAra
 Ao	 Ao
 KulawIM	 Kula
 WUkawA	 WUka
 Taharawe	 Tahara
 hazsawA - bolawA	 hazsawA - bola
 PeMkA	 PeMkA
 sune	 suna
 KolawI	 Kola
 Kolawe	 Kola
 kahawe - xuSmana	 kaha - xuSmana
 sadZa	 sadZa
 sadA	 sadA
 KAkara	 KA
 soPZiyA - isalie	 soPZiyA - isalie
 biKerane	 biKera
 sUMGawe	 sUMGa
 seMka	 seMka
 kahA - calawe - calawe	 kahA - cala - cala
 nikalUMgA	 nikala
 dAlUMgA	 dAla
 mAnIM	 mAna
 kahA - iwanI	 kahA - iwanI
 seMkawe - bAzXawe	 seMka - bAzXa
 gujArA - kevala	 gujArA - kevala
 JagadAnahIM	 JagadAnahIM
 karAez	 karA
 buJAe	 buJA
 bahAnA	 bahAnA
 sakUMgA	 saka
 jabaraxaswI	 jabaraxaswI
 gAyeM	 gAya
 karanevAle	 kara
 karanevAlI	 kara
 pahacAnUzgA	 pahacAna
 uTAezge	 uTA
 BAgA	 BAga
 jamAne	 jamAnA
 JukAwA	 JukA
 miliegA	 mila
 jamAnI	 jamA
 jalAwA	 jalA
 banawe - banawe	 bana - bana
 liKA	 liKA
 baDZAwA	 baDZA
 JukAnevAlA	 JukA
 lota	 lota
 banA	 banA
 kiyA - wo	 kara - wo
 lagA - usa	 lagA - vaha
 Calake	 Calaka
 ladane	 lada
 howA - he	 howA - he
 DUMDa	 DUMDa
 uTAeM	 uTA
 lIpa - powakara	 lIpa - powa
 pUCA - julUsa	 pUCa - julUsa
 xiyA - hAM	 xiyA - hAz
 jagamagAwI	 jagamagAwA
 suhalAwe	 suhalA
 xeKanA	 xeKa
 JulAUMgI	 JulA
 samAI	 samA
 ceweM	 cewa
 xabegI	 xaba
 pUCazgA	 pUCazgA
 bolI - bETI	 bolI - bETa
 padZeMgI	 padZa
 padZeMge	 padZa
 kadZakakara	 kadZaka
 dAlUzgA	 dAla
 jalawI	 jalawA
 caDZAwe	 caDZA
 caDZAwI	 caDZA
 jalawe	 jalawA
 malawI	 mala
 malawe	 mala
 mazgavAkara	 mazgavA
 lalacAe	 lalacA
 sAXAÝ	 sAXa
 nikalanA	 nikala
 GutA	 GutA
 Kojane	 Koja
 cillAkara	 cillA
 saTiyA	 saTiyA
 mAreMgI	 mAra
 mAMgawA	 mAMga
 mAreMge	 mAra
 PUlI	 PUlA
 gAwA	 gA
 PUle	 PUlA
 cirAwe	 cirA
 vqWA	 vqWA
 kahawI	 kaha
 xuKe	 xuKa
 wudZavAkara	 wudZavA
 kahawe	 kaha
 gira - girA	 gira - girA
 uTI - yaha	 uTA - yaha
 hazsanA	 hazsa
 jAye	 jA
 beKabara	 beKabara
 karAha	 karAha
 CAnawA	 CAna
 riJAne	 riJA
 GumAwA	 GumA
 tatolakara	 tatola
 BarAUM	 BarA
 lAgE	 lAgE
 catapata	 catapata
 pita	 pita
 CilA	 CilA
 jaga	 jaga
 suMGA	 suMGA
 mArawA	 mAra
 WarrA	 WarrA
 pie	 pI
 cunavA	 cunavA
 jA	 jA
 pila	 pila
 jala	 jala
 pisa	 pisa
 nucavAe	 nucavA
 jama	 jama
 basAnA	 basA
 bajAI	 bajA
 hilAhilAkara	 hilAhilAkara
 BogegA	 Boga
 BarI - hama	 BarA - mEM
 GUra	 GUra
 jodZakara	 jodZa
 KoxegA	 Koxa
 sanasanA	 sanasanA
 GUma	 GUma
 ujadZA	 ujadZA
 uwarI	 uwara
 sIKUzgA	 sIKa
 milAnA	 milA
 lipatakara	 lipata
 oDZa	 oDZa
 AyA - ye	 AyA - yaha
 xiKAne	 xiKA
 jAneMge	 jAna
 xilAegI	 xilA
 hUM - merA	 hE - merA
 kahA - yahI	 kahA - yahI
 kahA - hAz	 kahA - hAz
 kahA - hAM	 kahA - hAz
 ciDZA	 ciDZA
 ruzXA	 ruzXA
 uKAdZa	 uKAdZa
 jazcawA	 jazca
 girajA	 girajA
 mazgA	 mazgA
 johawA	 joha
 rAwa - Bara	 rAwa - Bara
 bolo	 bola
 lI - magara	 le - magara
 jakadZanA	 jakadZa
 bolI	 bolI
 darUM	 dara
 bole	 bola
 kahA - na	 kahA - na
 samaJAe	 samaJA
 samaJAI	 samaJA
 A - Akara	 A - Akara
 XAåne	 XA
 samaJAo	 samaJA
 mazgavAwI	 mazgavA
 kahA - A	 kahA - A
 maDZe	 maDZA
 cIrawI	 cIra
 ladAxewe	 ladAxewe
 mitegA	 mita
 cIrawe	 cIra
 KojA	 KojA
 PElAezge	 PElA
 uXAra	 uXAra
 darane	 dara
 dAlI	 dAlI
 xUzgI	 xe
 BulA	 BulA
 dAle	 dAla
 nikAlanI	 nikAla
 nikAlane	 nikAla
 mitA	 mitA
 bahalA	 bahalA
 pUCA - aba	 pUCa - aba
 PAdZa	 PAdZa
 rOMxI	 rOMxa
 rOMxe	 rOMxa
 WA	 WA
 batore	 batora
 hUz¢	 hE
 hENNN	 hENNN
 soie	 so
 dAztane	 dAzta
 pAye	 pAyA
 katane	 kata
 jAnevAlA	 jA
 pAyI	 pA
 maranA	 mara
 xabAUzgA	 xabA
 Waka	 Waka
 jIwA	 jIwA
 uwaravA	 uwaravA
 gAeM - BEMse	 gA - BEMsA
 lalakAreM	 lalakAra
 caDZAUMgA	 caDZA
 KAyI	 KA
 KAye	 KA
 padZane	 padZa
 kahA - mere	 kahA - merA
 lageMgI	 laga
 lageMge	 laga
 padArahane	 padArahane
 gadA	 gadA
 jamegA	 jama
 gadZa	 gadZa
 padZIM	 padZa
 ukasAne	 ukasA
 liKane	 liKa
 bolUMgI	 bola
 BadZakA	 BadZakA
 bolIM - hama	 bola - mEM
 bolA - kyA	 bolA - kyA
 calawecalawe	 calawecalawe
 manAegI	 manA
 Kola	 Kola
 e	 e
 uwarane	 uwara
 hEM - eka	 hE - eka
 poMCanevAlA	 poMCa
 A	 A
 WI - xasa	 WA - xasa
 xiyA - wuma	 xiyA - wU
 kamAwA	 kamA
 guMWe	 guMWa
 CodZanevAle	 CodZa
 sate	 satA
 SiKa	 SiKa
 We - wumhArI	 WA - wU
 kiXAra	 kiXAra
 Awaowe	 Awaowe
 JukAyA	 JukA
 mitAe	 mitA
 mitAI	 mitA
 rahazgI	 rahazgI
 manAwA	 manA
 lie - lie	 lie - lie
 uwArI	 uwAra
 baxalakara	 baxala
 TukarAe	 TukarA
 XAdZAXAdZa	 XAdZAXAdZa
 uwAro	 uwAra
 banAnA	 banA
 JulasA	 JulasA
 JuzJalA	 JuzJalA
 KarIxa	 KarIxa
 rokanA	 roka
 bisUrane	 bisUra
 hatavA	 hatavA
 hUMgA	 ho
 bawiyA	 bawiyA
 AyA - mEM	 AyA - mEM
 lUMgI	 le
 hone	 ho
 pahuzcIM	 pahuzca
 honI	 honI
 pahuzcane	 pahuzca
 latake	 latakA
 dapatakara	 dapata
 cukIM	 cuka
 cUkeM	 cUka
 uTawI	 uTa
 timatimAwe	 timatimA
 uTawe	 uTa
 kiXara	 kiXara
 lagAUzgA	 lagA
 race	 raca
 xogI	 xe
 xoge	 xe
 racI	 raca
 pItie	 pIta
 lota - lota	 lota - lota
 pUCA - KEra	 pUCa - KEra
 bawAoge	 bawA
 bawAogI	 bawA
 xabAegI	 xabA
 bolA - Aha	 bolA - Aha
 PElAnA	 PElA
 Bejina	 Bejina
 karavAI	 karavA
 bolA - Apa	 bolA - Apa
 kahA - BABI	 kahA - BABI
 dAMta	 dAMta
 caDZawI	 caDZa
 caDZawe	 caDZa
 baxawA	 baxa
 bolI - yahAM	 bolI - yahAM
 xOdZane	 xOdZa
 rukane	 ruka
 bolI - jahAM	 bolI - jahAM
 paraKane	 paraKa
 iMxraxawwA - ho	 iMxraxawwA - ho
 KAoge	 KA
 AUM	 A
 AUz	 A
 bolI - hadZawAla	 bolI - hadZawAla
 karAne	 karA
 karAnI	 karA
 uTUMgA	 uTa
 rUkUMgI	 rUka
 CipAwe	 CipA
 CipAwI	 CipA
 miteMge	 mita
 GabarAwA	 GabarA
 bajI	 baja
 xilAveMge	 xilA
 socA - Aja	 socA - Aja
 lie	 lie
 bole - isakI	 bola - yaha
 mAnawA	 mAna
 bole - isake	 bola - yaha
 liKa	 liKa
 banAwA - bigAdZawA	 banA - bigAdZa
 paDZAyA	 paDZA
 rahA	 raha
 lagUM	 laga
 CodZaIzgA	 CodZaIzgA
 bolA - badZA	 bolA - badZA
 bolI - na	 bolI - na
 CodZeMge	 CodZa
 BunAne	 BunA
 CodZeMgI	 CodZa
 xI - mEMne	 xe - mEM
 kahA - bAbA	 kahA - bAbA
 BagAkara	 BagA
 gAzTanA	 gAzTa
 CatapatAwI	 CatapatA
 piez	 pI
 cOMXiyA	 cOMXiyA
 pieM	 pI
 xI - mEM	 xe - mEM
 akadZawe	 akadZa
 cZI	 cZI
 kahA - wumhArI	 kahA - wU
 GulI	 GulA
 wErawe	 wErawA
 bacUMgIM	 bacUMgIM
 lOtanA	 lOta
 KelA - KelAkara	 KelA - KelA
 gajaba	 gajaba
 Gera	 Gera
 KiMcavA	 KiMcavA
 sUKawe	 sUKa
 uTAyA	 uTA
 mahaka	 mahaka
 ubAra	 ubAra
 leMga	 leMga
 liKAnA	 liKA
 iXAra - uXAra	 iXAra - uXAra
 lagI - merA	 lagA - merA
 bahAkara	 bahA
 KisakAyA	 KisakA
 rUMXe	 rUMXa
 ginAe	 ginA
 xabanA	 xaba
 buJe	 buJA
 buJI	 buJA
 bolA - vaha	 bolA - vaha
 CodUMégI	 Coda
 xamaka	 xamaka
 xabAUMgA	 xabA
 gayA - suKaxA	 jA - suKaxA
 kAzpawI	 kAzpa
 xiyA - BAI	 xiyA - BAI
 powa - powakara	 powa - powa
 kAzpawe	 kAzpa
 raKUMgI	 raKa
 pahuMca	 pahuMca
 puswakeM	 puswaka
 nAcoge	 nAca
 bAzte	 bAztA
 hazsawe - bolawe	 hazsawA - bola
 mazdalAwI	 mazdalA
 pAlane	 pAlanA
 BagA	 BagA
 AwA - calakara	 A - cala
 jiUMgA	 jI
 warasawe	 warasa
 soPI - ho	 soPI - ho
 warasawI	 warasa
 bolIM - nahIM	 bola - nahIM
 xiyA - Apa	 xiyA - Apa
 DUzDZa	 DUzDZa
 nikAlegI	 nikAla
 gazvAra	 gazvAra
 bETe - xeKo	 bETa - xeKo
 xiyA - Aha	 xiyA - Aha
 paDZakara	 paDZa
 tatolawI	 tatola
 cinagAriyAz - sI	 cinagArI - sI
 jAyaMgI	 jAyaMgI
 tatolawe	 tatola
 hilAI	 hilA
 gazvAI	 gazvA
 gazvAe	 gazvA
 bawAI - yaha	 bawA - yaha
 xiyA - Ao	 xiyA - Ao
 camaka	 camaka
 huA - yaha	 ho - yaha
 wanakara	 wana
 karegI	 kara
 banAUz	 banA
 banAUM	 banA
 are	 are
 KAnevAlA	 KA
 kahA - xayA	 kahA - xayA
 talegI	 tala
 Bigone	 Bigo
 sametane	 sameta
 hIM	 hIM
 KilAne - pilAne	 KilA - pilA
 kareM	 kara
 DAMpa - DAMpakara	 DAMpa - DAMpa
 werA	 wU
 haMsawe	 haMsa
 nikalaAegI	 nikalaAegI
 pisavAUz	 pisavA
 kasawA	 kasa
 malegA	 mala
 cIKawe	 cIKa
 barasAe	 barasA
 kahA - praBu	 kahA - praBu
 Wara - Wara	 Wara - Wara
 pahuMcegA	 pahuMca
 nahA	 nahA
 WUkie	 WUka
 padZo	 padZa
 wapawA	 wapa
 padZe	 padZA
 padZI	 padZA
 kahA - skIma	 kahA - skIma
 pahuzcegA	 pahuzca
 KIMcanA	 KIMca
 karUMgI	 kara
 milIM	 mila
 lagoge	 laga
 lagAye	 lagAyA
 rUTane	 rUTa
 wamawamAwe	 wamawamA
 wyAga	 wyAga
 gAyagA	 gAyagA
 sahamI	 sahama
 pUCA - vahAz	 pUCa - vahAz
 sahame	 sahama
 kAtI - nahIM	 kAta - nahIM
 laga	 laga
 xeKakara - jisase	 xeKa - jo
 jAyagA	 jAyagA
 laz	 laz
 gUMWakara	 gUMWa
 wodZoge	 wodZa
 bAzta	 bAzta
 lA	 lA
 kahA - kevala	 kahA - kevala
 liKawe - liKawe	 liKa - liKa
 lada	 lada
 xiKAye	 xiKA
 laxa	 laxa
 hazsakara	 hazsa
 sulaJAez	 sulaJA
 nirA	 nirA
 AyegA	 A
 Kuraca	 Kuraca
 lagane	 laga
 cillAe	 cillA
 samaJegI	 samaJa
 uKAdZakara	 uKAdZa
 WA - yahI	 WA - yahI
 dawaN	 dawaN
 racane	 raca
 akadZakara	 akadZa
 GabadAkara	 GabadA
 xeKA - jAna	 xeKA - jAna
 latakawI	 lataka
 kahA - usako	 kahA - usaka
 giregA	 gira
 wadZapa - wadZapakara	 wadZapa - wadZapa
 jagA	 jagA
 mAranA	 mAra
 PerA	 PerA
 darAwI	 darA
 pIsa	 pIsa
 Kula	 Kula
 wodUMgA	 woda
 BogawA	 Boga
 sunA - sunAkara	 sunA - sunA
 pUCAba	 pUCAba
 Jale	 JalA
 pIta	 pIta
 Kuba	 Kuba
 sakucA	 sakucA
 pUCA - BEyA	 pUCa - BEyA
 hilAyIM	 hilA
 macAnA	 macA
 lAUMgI	 lA
 rahawIM	 raha
 soPI - mEM	 soPI - mEM
 JukI	 JukA
 piGalA	 piGalA
 mAzgakara	 mAzga
 liKawI	 liKa
 liKawe	 liKa
 TAnI	 TAna
 xabakara	 xaba
 CodZanA	 CodZa
 Wakakara	 Waka
 xilAIM	 xilA
 kahUz	 kahUz
 kahUM	 kaha
 dola	 dola
 basawI	 basa
 bolI - hAM	 bolI - hAz
 lOtAwe	 lOtA
 lagAne	 lagA
 bolI - hAz	 bolI - hAz
 lOtAwI	 lOtA
 sUJA	 sUJa
 calAeMge	 calA
 uXefa	 uXefa
 JalakawI	 Jalaka
 bolA - aba	 bolA - aba
 JukAez	 JukA
 pace	 pacA
 dakAra	 dakAra
 gujZare	 gujZarA
 gaTe	 gaTA
 hE - TAkurajI	 hE - TAkurajI
 sunAie	 sunA
 KEra	 KEra
 GabarA	 GabarA
 mileMge	 mila
